Nama,Harga
TEAM DELTA RGB DDR5 PC44800 32GB,Rp2.159.000
KINGSTON FURY BEAST DDR5 5200MHZ 32GB,Rp2.128.000
CORSAIR DDR5 DOMINATOR PLATINUM RGB PC52800 64GB,Rp5.531.000
ADATA DDR4 XPG SPECTRIX D35G PC25600 16GB,Rp800.000
KLEVV CRAS XR5 RGB DDR5 PC57600 32GB,Rp2.908.000
KLEVV CRAS XR5 RGB DDR5 PC56000 32GB,Rp2.555.000
CORSAIR DDR5 VENGEANCE RGB PC52800 64GB,Rp4.865.000
TEAM DELTA RGB DDR5 PC48000 DUAL CHANNEL 32GB,Rp2.040.000
PNY XLR8 GAMING MAKO EPICX RGB DDR5 PC48000 6000MHZ 32GB,Rp2.107.000
LEXAR DDR4 PC25600 3200MHZ 16GB,Rp562.000
CORSAIR DDR5 VENGEANCE PC48000 64GB,Rp4.397.000
CORSAIR DDR5 VENGEANCE RGB PC48000 32GB,Rp2.692.000
CORSAIR DDR5 VENGEANCE PC48000 32GB,Rp2.530.000
RAM KLEVV DDR5 VALUE SERIES PC44800 5600MHZ 16GB,Rp873.000
CUBE GAMING SABER DDR4 3200MHZ PC25600 SINGLE CHANNEL 16GB,Rp514.000
TEAM ELITE PLUS BLACK DDR5 PC41600 16GB,Rp912.000
TEAM ELITE PLUS BLACK DDR5 PC44800 DUAL CHANNEL 32GB,Rp1.914.000
CORSAIR DDR5 VENGEANCE RGB PC48000 CMH64GX5M2B6000Z40 BLACK,Rp4.495.000
PNY PERFORMANCE DDR5 PC38400 4800MHZ 16GB,Rp883.000
ADATA DDR5 XPG LANCER WHITE PC48000 64GB,Rp4.089.000
ADATA DDR5 XPG LANCER PC57600 7200MHZ 32GB,Rp2.999.000
ADATA DDR5 XPG LANCER PC48000 6000MHZ 64GB,Rp4.089.000
TEAM DELTA RGB DDR5 PC51200 6400MHZ DUAL CHANNEL 32GB,Rp2.373.000
VGEN PLATINUM DDR5 32GB,Rp1.662.000
VGEN PLATINUM DDR5 16GB,Rp879.000
TEAM ELITE PLUS BLACK DDR5 PC41600 5200MHZ DUAL CHANNEL 16GB,Rp1.053.000
TEAM DELTA DDR4 RGB PC25600 3200MHZ DUAL CHANNEL 32GB,Rp1.434.000
TEAM DELTA DDR4 RGB PC25600 3200MHZ DUAL CHANNEL 64GB,Rp2.713.000
TEAM ELITE PLUS SILVER DDR5 PC41600 5200MHZ DUAL CHANNEL 16GB,Rp1.053.000
