Nama,Harga
GALAX GEFORCE RTX 4070 12GB DDR6X EX GAMER WHITE,Rp10.029.000
GALAX GEFORCE RTX 4070 12GB DDR6X EX GAMER,Rp10.535.000
ASUS GEFORCE RTX 4070 12GB GDDR6X,Rp11.106.000
GIGABYTE GEFORCE RTX 4070 12GB WINDFORCE OC,Rp10.330.000
GIGABYTE GEFORCE RTX 4070 12GB GAMING OC,Rp11.280.000
MSI GEFORCE RTX 4070 12GB GDDR6X,Rp11.190.000
MSI GEFORCE RTX 4070 12GB GDDR6X,Rp11.506.000
ASUS GEFORCE RTX 4070 12GB GDDR6X,Rp10.398.000
ASUS GEFORCE RTX 4070 12GB GDDR6X,Rp10.930.000
ARKTEK GEFORCE GTX 1660 SUPER 6GB GDDR6 MATRIX,Rp2.908.000
ASROCK RADEON RX 7900 GRE 16GB GDDR6,Rp10.290.000
SAPPHIRE PULSE RADEON RX 7600 XT 16GB GDDR6 GAMING OC,Rp5.939.000
ASROCK RADEON RX 7600 XT 16GB GDDR6,Rp6.280.000
ASROCK RADEON RX 7600 XT 16GB GDDR6,Rp5.966.000
SAPPHIRE PULSE RADEON RX 7900 XTX 24GB GDDR6 GAMING OC,Rp19.019.000
SAPPHIRE PULSE RADEON RX 7900 XT 20GB GDDR6 GAMING OC,Rp14.474.000
SAPPHIRE NITRO RADEON RX 7900 XTX 24GB GDDR6 GAMING OC,Rp21.040.000
ASROCK RADEON RX 7900 XTX 24GB GDDR6,Rp25.459.000
ASROCK RADEON RX 6600 8GB GDDR6,Rp3.690.000
GIGABYTE RADEON RX 7600 8GB GDDR6 GAMING OC,Rp4.705.000
SAPPHIRE RADEON RX 7700 XT 12GB GDDR6 PURE,Rp8.060.000
SAPPHIRE RADEON RX 7700 XT 12GB GDDR6 NITRO,Rp8.615.000
SAPPHIRE RADEON RX 7800 XT 16GB GDDR6 PURE,Rp9.928.000
ASROCK RADEON RX 7800 XT 16GB GDDR6,Rp9.229.000
ASUS RADEON RX 560 4GB GDDR5,Rp1.643.000
SAPPHIRE RADEON RX 7700 XT 12GB GDDR6 PULSE,Rp7.807.000
SAPPHIRE RADEON RX 7800 XT 16GB GDDR6 PULSE,Rp9.373.000
SAPPHIRE RADEON RX 7800 XT 16GB GDDR6 NITRO,Rp10.333.000
POWERCOLOR RADEON RX 7700 XT 12GB GDDR6 RED DEVIL,Rp8.552.000
ASROCK RADEON RX 7900 XTX 24GB GDDR6,Rp18.735.000
POWERCOLOR RADEON RX 7600 8GB GDDR6 FIGHTER,Rp4.490.000
SAPPHIRE RADEON RX 7600 8GB GDDR6 PULSE,Rp4.625.000
ASROCK RADEON RX 7900 XTX 24GB GDDR6,Rp19.839.000
ASROCK RADEON RX 7600 8GB GDDR6,Rp5.039.000
ASROCK RADEON RX 7600 8GB GDDR6,Rp4.992.000
ASROCK RADEON RX 7600 8GB GDDR6,Rp4.469.000
ASROCK RADEON RX 550 4GB GDDR5,Rp1.225.000
POWERCOLOR RADEON RX 6400 4GB DDR6 ITX,Rp2.159.000
ASROCK RADEON RX 6750 XT 12GB DDR6,Rp6.649.000
POWERCOLOR RADEON RX 6500 XT 4GB DDR6 FIGHTER,Rp2.285.000
ASROCK RADEON RX 6600 8GB DDR6,Rp3.450.000
ASUS RADEON RX 6600 8GB GDDR6 DUAL,Rp3.569.000
XFX RADEON RX 6900 XT RGB EKWB WATERBLOCK 16GB DDR6,Rp8.777.000
POWERCOLOR RADEON RX 550 4GB DDR5 RED DRAGON,Rp1.158.000
GIGABYTE RADEON RX 7900 GRE 16GB GAMING OC,Rp10.639.000
