Nama,Harga
AMD RYZEN THREADRIPPER 2950X,Rp11.843.000
AMD WRAITH MAX WITH RGB LED CONTROL,Rp718.000
AMD GODAVARI A6 7470K,Rp797.000
AMD ATHLON 240GE,Rp848.000
AMD RYZEN THREADRIPPER 2920X,Rp6.212.000
AMD ATHLON 200GE,Rp776.000
AMD RYZEN 7 PINNACLE RIDGE 2700X,Rp3.247.000
AMD RYZEN 5 PINNACLE RIDGE 2600,Rp2.120.000
AMD RYZEN 5 PINNACLE RIDGE 2600X,Rp2.237.000
AMD RYZEN 7 PINNACLE RIDGE 2700,Rp3.403.000
AMD RYZEN 5 RAVEN RIDGE 2400G,Rp2.170.000
AMD RYZEN 3 RAVEN RIDGE 2200G,Rp1.724.000
AMD BRISTOL RIDGE A12 9800,Rp1.335.000
AMD BRISTOL RIDGE A6 9500,Rp730.000
AMD BRISTOL RIDGE A10 9700,Rp1.069.000
AMD KAVERI A8 7650K,Rp817.000
AMD RYZEN 3 1200,Rp1.272.000
AMD RYZEN 3 1300X,Rp1.578.000
AMD RYZEN 5 1600X,Rp2.930.000
AMD RYZEN 5 1400,Rp2.097.000
AMD RYZEN 5 1600,Rp1.799.000
AMD RYZEN 7 1700,Rp3.782.000
AMD RYZEN 7 1700X,Rp4.325.000
AMD RYZEN 7 1800X,Rp4.940.000
AMD KAVERI A6 7400K,Rp484.000
AMD GODAVARI ATHLON X4 880K,Rp1.110.000
AMD GODAVARI A8 7670K,Rp1.250.000
AMD KAVERI A8 7600,Rp750.000
AMD KAVERI ATHLON X4 860K,Rp735.000
AMD RICHLAND A6 6400K,Rp475.000
AMD RICHLAND A4 6300,Rp419.000
AMD VISHERA FX 8320E,Rp1.780.000
AMD VISHERA FX 6300,Rp1.160.000
