Nama,Harga
KLEVV SSD CRAS C910 LITE 1TB M2 2280 NVME PCLE GEN 4X4,Rp1.089.000
PNY CS1031 M2 2280 NVME PCIE GEN 3X4 512GB,Rp563.000
PARADOX GAMING CORE CLASSIC SSD 2TB SATA3,Rp1.204.000
PNY XLR8 SSD COVER WITH INTEGRATED HEATSINK,Rp252.000
CRUCIAL X9 PRO PORTABLE SSD 1TB USB GEN 2,Rp1.763.000
VENOMRX VRX NVME 1TB M2 PCIE GEN 4,Rp862.000
V GEN SSD M2 NVME PCIE GEN 3X4 512GB,Rp709.000
CRUCIAL BX500 SSD 500GB 3D NAND SATA3,Rp648.000
PARADOX GAMING CORE CLASSIC SSD 1TB SATA3,Rp578.000
CORSAIR MP600 CORE XT 2TB M2 NVME PCIE GEN 4X4,Rp2.993.000
MSI SPATIUM M480 PRO M2 NVME PCIE GEN 4X4 1TB HEATSINK,Rp1.695.000
TEAM QX SSD 4TB SATA3,Rp2.598.000
CORSAIR MP700 2TB M2 NVME PCIE GEN 5X4,Rp5.142.000
CORSAIR MP700 1TB M2 NVME PCIE GEN 5X4,Rp3.029.000
ADATA SSD SU650 512GB SATA 2I,Rp580.000
ADATA SSD SU650 256GB SATA 2I,Rp379.000
SAMSUNG SSD 990 PRO M2 PCIE GEN 4X4 1TB MZ V9P1T0CW WITH HEATSINK,Rp2.509.000
MSI SPATIUM M461 M2 NVME PCIE GEN 4X4 2TB,Rp1.825.000
CORSAIR MP600 CORE XT 1TB M2 NVME PCIE GEN 4X4,Rp1.565.000
SSD ADATA XPG GAMM9 S70 BLADE 1TB PCIE GEN 4X4,Rp1.469.000
SSD ADATA LEGEND 850 LITE 1TB NVME PCIE GEN 4X4,Rp1.218.000
SSD ADATA LEGEND 800 2TB NVME PCIE GEN 4X4,Rp2.019.000
SSD ADATA LEGEND 800 1TB NVME PCIE GEN 4X4,Rp1.100.000
VENOMRX VRX 1TB MAX R545MB,Rp936.000
VENOMRX VRX NVME 2TB M2 PCIE GEN 3,Rp1.757.000
VENOMRX VRX SUPER 256GB M2 SATA 2I,Rp311.000
MSI SPATIUM M461 M2 NVME PCIE GEN 4X4 500GB,Rp594.000
CRUCIAL MX500 SSD 4TB 3D NAND SATA3,Rp5.070.000
