Nama,Harga
COOLER MASTER V650 SFX GOLD V2,Rp2.018.000
NZXT C SERIES 1200W ATX GOLD FULL MODULAR,Rp3.060.000
GIGABYTE GP UD850GM PG5 850W 80 PLUS GOLD,Rp1.919.000
FRACTAL ANODE 650W 80 PLUS BRONZE,Rp938.000
FIRST PLAYER DK PREMIUM PS 700AX 80 PLUS BRONZE JAPANESE CAPACITOR,Rp750.000
FIRST PLAYER DK PREMIUM PS 600AX 80 PLUS BRONZE JAPANESE CAPACITOR,Rp668.000
MSI MPG A850G PCIE5 850W 80 PLUS GOLD FULL MODULAR,Rp2.212.000
MSI MPG A1000G PCIE5 1000W 80 PLUS GOLD FULL MODULAR,Rp2.910.000
IMPERION P500 550W RGB,Rp282.000
FSP HYDRO G PRO 1000W ATX30 80 PLUS GOLD,Rp2.480.000
PCCOOLER PSU 500W NP500W,Rp287.000
SEASONIC PRIME FANLESS TITANIUM TX 700 700W FULLY MODULAR 80 PLUS TITANIUM,Rp3.969.000
FSP HYDRO G PRO 850W ATX30 80 PLUS GOLD,Rp2.102.000
NZXT C SERIES 1000W,Rp2.683.000
FRACTAL ION PLUS 560W PLATINUM FULLY MODULAR,Rp1.131.000
FRACTAL DESIGN ION SFX L 650W 80 PLUS GOLD,Rp1.599.000
FRACTAL DESIGN ION SFX L 500W 80 PLUS GOLD,Rp1.174.000
FRACTAL DESIGN ION PLUS 2 860W 80 PLUS PLATINUM,Rp2.029.000
NZXT C SERIES 750W,Rp1.011.000
NZXT C SERIES 550W,Rp796.000
CORSAIR HXI SERIES 1000W FULLY MODULAR,Rp4.060.000
POWER SUPPLY SPC 450 WATT,Rp114.000
AEROCOOL MIRAGE GOLD 650W 80 PLUS GOLD FULLY MODULAR,Rp1.232.000
DEEPCOOL 750W,Rp1.174.000
FSP HYDRO M PRO 700W 80 PLUS BRONZE,Rp1.011.000
NZXT C SERIES 650W,Rp904.000
CORSAIR HXI SERIES 1500W FULLY MODULAR,Rp5.925.000
MSI MPG A750GF WHITE EDITION 750W 80 PLUS GOLD FULL MODULAR,Rp1.882.000
ANTEC CUPRUM STRIKE 750W,Rp1.079.000
PRIME PREMIUM 650W,Rp1.223.000
PRIME PREMIUM 750W,Rp1.326.000
DEEPCOOL 750W,Rp1.551.000
CORSAIR RME SERIES 850W FULL MODULAR,Rp2.071.000
CORSAIR RME SERIES 750W FULL MODULAR,Rp1.924.000
MSI MPG A1000G 1000W 80 PLUS GOLD FULL MODULAR,Rp2.714.000
ANTEC VP SERIES 550W,Rp678.000
MSI MAG A650BN EVA E PROJECT 650W 80 PLUS BRONZE,Rp1.085.000
FSP HYDRO G PRO 750W 80 PLUS GOLD,Rp1.845.000
ENERMAX MARBLEBRON 80 PLUS BRONZE 850W,Rp1.132.000
DEEPCOOL 700W,Rp800.000
DEEPCOOL 1000W,Rp2.494.000
FSP HYDRO K PRO 850W 80 PLUS BRONZE,Rp1.106.000
FSP HYDRO M PRO 600W 80 PLUS BRONZE,Rp951.000
ANTEC HIGH CURRENT GAMER 750W,Rp1.949.000
ANTEC HIGH CURRENT GAMER 650W,Rp1.531.000
SUPER FLOWER LEGION GX PRO 650W,Rp1.315.000
BE QUIET PURE POWER 11 1000W FM,Rp2.425.000
BE QUIET PURE POWER 11 850W FM,Rp2.069.000
FSP HYDRO G PRO 1000W 80 PLUS GOLD,Rp2.364.000
GIGABYTE GP P1000GM 1000W 80 PLUS GOLD,Rp2.443.000
AIGO DARKFLASH GS650 650W 80 PLUS BRONZE FULL MODULAR,Rp697.000
AIGO DARKFLASH GS750 750W 80 PLUS BRONZE FULL MODULAR,Rp791.000
AIGO DARKFLASH GS550 550W 80 PLUS BRONZE FULL MODULAR,Rp644.000
THERMALTAKE TOUGHPOWER GF1 FULL MODULAR 750W 80 PLUS GOLD,Rp1.891.000
ASUS ROG STRIX 1000W FULLY MODULAR,Rp3.560.000
MSI MAG A650BN 650W 80 PLUS BRONZE,Rp901.000
MSI MAG A550BN 550W 80 PLUS BRONZE,Rp765.000
CORSAIR RMX SERIES 850W FULL MODULAR,Rp2.600.000
CORSAIR RM WHITE SERIES 850W FULL MODULAR,Rp2.259.000
CORSAIR RM WHITE SERIES 750W FULL MODULAR,Rp2.071.000
CORSAIR RMX SERIES 1000W FULL MODULAR,Rp3.596.000
FSP SFX DAGGER PRO 750W 80 PLUS GOLD,Rp1.886.000
FSP SFX DAGGER PRO 850W 80 PLUS GOLD,Rp2.076.000
COOLER MASTER G600 80 PLUS GOLD,Rp1.127.000
CORSAIR CV SERIES 750W,Rp1.179.000
SEASONIC FOCUS GOLD SGX 650 SFX SERIES,Rp1.865.000
SEASONIC FOCUS GOLD GX 850 WHITE,Rp2.201.000
BE QUIET STRAIGHT POWER 11 850W,Rp2.323.000
BE QUIET STRAIGHT POWER 11 750W,Rp2.119.000
BE QUIET STRAIGHT POWER 11 650W,Rp1.915.000
ANTEC ATOM G750,Rp1.224.000
ANTEC ATOM G650,Rp1.120.000
ANTEC ATOM B650,Rp812.000
ANTEC ATOM B550,Rp709.000
