Nama,Harga
VGA KYO Arktek GeForce GT 1030 2GB GDDR5 64Bit LP GT1030,Rp1.195.000
KYO SOYO RTX 4070 iCRAFT 12GB LIMITED EDT OC VGA RTX 4070 OC 12GB,Rp9.990.000
VGA NVIDIA ASSASIN GT220 1GB DDR3 128BIT Murah Garansi,Rp325.000
VenomRX Radeon RX 580 8GB GDDR5 256Bit VGA RX580,Rp1.450.000
VGA RADEON YESTON RX 6800 16GB GDDR6,Rp6.317.000
Vga Card 1 Gb Murah,Rp145.000
 ZOTAC GAMING GeForce RTX 3050 6GB Solo,Rp2.882.000
LIAN LI STRIMER PLUS V2 ARGB 12+4 PIN 12VHPWR 12 LIGHT EXTENSION CABLE,Rp960.000
ZOTAC GAMING GeForce RTX 4060 Ti 8GB Twin Edge OC White Edition,Rp6.699.000
VGA Card MSI GeForce RTX 4060 VENTUS 2X BLACK 8G OC - 8GB GDDR6,Rp5.520.000
VGA Grafik Card Magix GTX 550 TI 1GB DDR5 128BIT Original New Garansi,Rp375.000
VGA Card Colorful GeForce RTX 4070 SUPER NB EX 12GB-V - 12GB GDDR6X,Rp10.983.000
COLORFUL iGame GeForce RTX 4070 SUPER ULTRA W OC 12GB GDDR6X,Rp11.540.000
VGA AMD RADEON RX 6600 XT 8GB GDDR6,Rp2.552.000
VGA EFFOXPRO AMD R7 240 2GB D5 128BIT ORIGINAL NEW !!! 2 THN GARANSI,Rp509.001
VGA ZOTAC GeForce RTX 3050 SOLO 6GB GDDR6,Rp2.870.000
MSI NVIDIA GeForce RTX 4090 GAMING X TRIO 24GB DDR6X - VGA,Rp33.599.000
VGA Video Card NVidia GT730 2GB 128Bit,Rp250.000
VGA RX7 R7 240 4GB DDR5 128 BIT REAL CAPACITY RESMI,Rp690.000
VGA Grafik Card Magix GTS 450 1GB DDR5 ,Rp250.000
VGA CARD GEFORCE GTX 1060 3GB 6GB 8GB GAMING DDR5 NVIDIA,Rp1.225.800
VGA Card Gigabyte GeForce RTX 4060 AERO OC 8G - 8GB GDDR6,Rp6.199.000
new fax MANTO nano pro original,Rp208.000
VGA Qwerty GT610 2GB DDR3 64BIT Graphic Card,Rp290.000
GIGABYTE Radeon RX 7800 XT 16GB GAMING OC,Rp9.115.000
ASUS TUF Gaming Radeon RX 7800 XT OC Edition 16GB GDDR6,Rp9.555.000
SAPPHIRE PULSE Radeon RX 7800 XT 16GB,Rp9.453.000
ZOTAC GAMING GeForce GTX 1650 4GB AMP Core GDDR6,Rp2.096.000
VGA RX580 8GB XFX Black Wolf Ddr5 Quantity ya Original,Rp890.000
LQ FO OM lite 30 mili,Rp92.000
Vga Sapphire NITRO+ AMD Radeon RX 7900 GRE 16GB Gddr6,Rp10.000.001
TEUCER VC-15 PLUS/MINI | GPU Holder Bracket Stand Penahan VGA Premium,Rp139.000
XFX Speedster SWFT 319 AMD Radeon RX 6800 CORE Gaming,Rp6.845.000
VGA CARD GALAX GT 730 4GB DDR3 128 BIT NVIDIA GEFORCE,Rp793.000
VGA Asus 1GB GT210 DDR3 murah,Rp168.000
VGA ASUS GT 710 2GB DDR3 64 BIT GT710 LP,Rp582.000
VGA Card KYO SOYO DRAGON GTX 1650 4GB DDR6 GeForce 4GB GDDR6,Rp1.995.000
GIGABYTE GeForce RTX 3060 WINDFORCE OC 12GB GDDR6 192-bit [GPU],Rp5.090.000
